Rule_ID,Rule_Family,Precedence,Source_Field,Source_Condition,Target_Field,Target_Value_or_Disposition,Retryable,Target_HTTP_Attempt_Cap,Evidence_Requirement,Example,Exercise_Boundary
MAP-001,Authentication,1,X-PORT0003-API-Key,equals task-local environment secret,processing_state,AUTHENTICATED_CONTINUE,No,0,correlation_id plus authentication disposition; never log the key,valid placeholder-resolved key,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-002,Authentication,1,X-PORT0003-API-Key,missing or unequal,processing_state,REJECTED_UNAUTHORIZED,No,0,correlation_id and rejection; no target call,counterfeit delivery EVENT-0009,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-003,ContractValidation,2,all required source fields,all ten fields present and enums allowed,processing_state,VALIDATED_CONTINUE,No,0,field-presence and enum-validation disposition,EVENT-0001,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-004,ContractValidation,2,all required source fields,one or more fields absent,processing_state,REJECTED_MISSING_REQUIRED_FIELD,No,0,missing-field list plus correlation_id; no target call,EVENT-0005 missing region,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-005,ContractValidation,2,account_status/support_tier/contract_state/region/event_type,value outside allowed enum,processing_state,REJECTED_INVALID_ENUM,No,0,invalid field/value category plus correlation_id; no target call,EVENT-0006 support_tier Elite,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-006,EntitlementStatus,3,account_status + contract_state,Active + Current,entitlement_status,ENABLED,No,1,transformed payload and source_version,Active/Current,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-007,EntitlementStatus,3,account_status + contract_state,Active + Pending,entitlement_status,PENDING,No,1,transformed payload and source_version,Active/Pending,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-008,EntitlementStatus,3,account_status + contract_state,Active + Expired,entitlement_status,DISABLED,No,1,Expired overrides Active,Active/Expired,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-009,EntitlementStatus,3,account_status + contract_state,Suspended + Current,entitlement_status,DISABLED,No,1,Suspended override evidence,Suspended/Current,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-010,EntitlementStatus,3,account_status + contract_state,Suspended + Pending,entitlement_status,DISABLED,No,1,Suspended override evidence,Suspended/Pending,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-011,EntitlementStatus,3,account_status + contract_state,Suspended + Expired,entitlement_status,DISABLED,No,1,Suspended/Expired precedence evidence,Suspended/Expired,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-012,EntitlementStatus,3,account_status + contract_state,Closed + Current,entitlement_status,DISABLED,No,1,Closed override evidence,Closed/Current,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-013,EntitlementStatus,3,account_status + contract_state,Closed + Pending,entitlement_status,DISABLED,No,1,Closed override evidence,Closed/Pending,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-014,EntitlementStatus,3,account_status + contract_state,Closed + Expired,entitlement_status,DISABLED,No,1,Closed/Expired precedence evidence,Closed/Expired,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-015,SupportPriority,4,support_tier,Standard,support_priority,Normal,No,1,source and target value pair,Standard -> Normal,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-016,SupportPriority,4,support_tier,Priority,support_priority,High,No,1,source and target value pair,Priority -> High,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-017,SupportPriority,4,support_tier,Premium,support_priority,Urgent,No,1,source and target value pair,Premium -> Urgent,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-018,CoverageRegion,5,region,NorthAmerica,coverage_region,NorthAmerica,No,1,direct allowed-value mapping,NorthAmerica,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-019,CoverageRegion,5,region,Europe,coverage_region,Europe,No,1,direct allowed-value mapping,Europe,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-020,CoverageRegion,5,region,AsiaPacific,coverage_region,AsiaPacific,No,1,direct allowed-value mapping,AsiaPacific,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-021,ProductScope,6,product_family,"trim; uppercase; collapse spaces, hyphens, or slashes to underscore; normalized pattern A-Z/0-9/underscore",product_scope,normalized value,No,1,"source and normalized value; permanent reject if empty, oversized, or invalid",Core Suite -> CORE_SUITE,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-022,SyntheticTime,6,occurred_at,valid relative synthetic label,updated_at,same relative synthetic label,No,1,source and target labels; reject real-looking or invalid event time,T+0001 -> T+0001,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-023,Idempotency,7,event_id,already reserved or previously applied,processing_state,DUPLICATE_IGNORED,No,0,new correlation linked to original; target hash/count unchanged,repeat EVENT-0003,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
MAP-024,EventOrdering,8,event_version,less than or equal to current target source_version,processing_state,OUT_OF_ORDER_IGNORED,No,0,current/new version and unchanged target hash,EVENT-0004 v2 after v3,SYNTHETIC_LOCAL_EXECUTION_ONLY; NO_REAL_CLIENT_OR_PRODUCTION_OUTCOME
